Tweets,Favorite,Retweets,Engagement,Sentiment,Tweet Length,Exclamations/Questions,Capital Letters,Passion
Ideas For Dems focus instead of #Bernie & Jane marriage analysis: #CHIP #FightFor15 #Medicare4All #Tax2ScamBill #DakotaLeak #ImpeachTrump #TrumpResign  #EqualPay #EndCitizensUnited #Gerrymandering #VoterSuppression #ElectionFraud #War #vote2018,1,1,2,0.0,244,0,36,36
"Not working @SacPolice  anymore isn't good enough when it comes to KILLER COPS! We want justice not paid retirements! Anti-Black TERROR can't be washed away @Mayor_Steinberg  
 ",36,16,52,0.35,178,2,27,29
"TRANSLATION: ""We stand w/ #racist #liberal #black #hate & #boycott a #white #GOP #POTUS visit to dedicate #MSCivilRightsMuseum?THEN tweet ""#NoHateInOurState""???#CivilRightsMuseum 

#TheResistance  #democrats never cease proving what #hypocrites they are??? ",0,0,0,-0.32222222222222224,259,0,42,42
???????? Coding to Fight Police #BlackExcellence  ,3,3,6,0.0,50,0,8,8
Guess I?m becoming an @Eminem fan? Listen to #Untouchable   #institutionalracism #artivism #MusicIsLife,1,0,1,0.45,103,1,11,12
"I Just Went To @BurgerKing and The employees were so rude and treated me with disrespect, i ask for a tray and sauce One of the employees throw it on the counter like they didn't want to touch my hand because I'm black. #RacistPlaces #WhyBeRacist #Burgerking ",19,15,34,-0.2333333333333333,259,0,18,18
WE ARE NOT FOR SALE! FIGHT AGAINST LIBYAN SLAVE TRADE!  #LibyaSlaveTrade ,2,1,3,0.0,73,2,62,64
".@realDonaldTrump - One year into your presidency, it?s clear what African Americans ?had to lose.? ? Healthcare, economic fairness, civil rights protections, voting rights protections, and an appreciation that black lives matter. #CivilRightsMuseum ",63,35,98,0.03333333333333335,250,0,12,12
Check out the article & support #BlackBusiness #blackbusinessowner @MelaninOrigins  @need_justice9 @ShaunKing @blk_slv_master @ShannonSharpe @yourrightscamp @Kaepernick7 @PurposelyAwake_  #ColinKaepernick #BLM  #blackpublisher #blackwriter  #BlackOwned #SNRTG ,4,1,5,0.0,260,0,27,27
 #PharrellWilliams: ?It rains and they shoot black people? | Music | The Guardian ,0,0,0,-0.16666666666666666,82,0,9,9
